CPI  M2 NEER  PPI IAV API
 98.30 	 128.38 	 101.84 	 92.20 	 10.70 	 95.46 
 98.20 	 128.39 	 101.31 	 91.80 	 10.80 	 96.32 
 98.80 	 128.48 	 100.48 	 92.14 	 12.30 	 97.28 
 99.20 	 129.26 	 99.08 	 93.01 	 13.90 	 99.97 
 99.50 	 129.46 	 97.69 	 94.15 	 16.10 	 100.34 
 100.60 	 129.64 	 97.05 	 97.92 	 19.20 	 104.70 
 101.90 	 127.58 	 97.77 	 101.70 	 18.50 	 107.70 
 101.50 	 126.10 	 98.24 	 104.32 	 15.15 	 107.90 
 102.70 	 125.53 	 99.62 	 105.39 	 12.80 	 111.10 
 102.40 	 122.49 	 99.34 	 105.91 	 18.10 	 108.30 
 102.80 	 121.48 	 99.47 	 106.81 	 17.80 	 110.00 
 103.10 	 120.99 	 102.01 	 107.13 	 16.50 	 112.00 
 102.90 	 118.46 	 103.15 	 106.41 	 13.70 	 112.50 
 103.30 	 117.61 	 101.58 	 104.84 	 13.40 	 112.60 
 103.50 	 119.21 	 100.15 	 104.32 	 13.90 	 113.90 
 103.60 	 118.97 	 99.85 	 104.33 	 13.30 	 112.00 
 104.40 	 119.28 	 97.98 	 105.04 	 13.10 	 115.60 
 105.10 	 119.46 	 98.75 	 106.06 	 13.30 	 117.90 
 104.60 	 119.72 	 99.85 	 105.93 	 13.50 	 115.10 
 104.90 	 117.31 	 99.70 	 106.60 	 15.50 	 118.20 
 104.90 	 115.73 	 99.32 	 107.23 	 14.90 	 119.50 
 105.40 	 116.64 	 98.57 	 107.31 	 14.80 	 120.20 
 105.30 	 115.36 	 97.87 	 106.82 	 13.40 	 116.80 
 105.50 	 115.08 	 98.05 	 106.79 	 13.30 	 115.20 
 106.40 	 115.86 	 98.20 	 107.12 	 15.10 	 117.80 
 106.50 	 114.67 	 98.07 	 107.54 	 14.00 	 116.80 
 106.20 	 113.58 	 98.69 	 107.25 	 13.50 	 113.50 
 106.10 	 113.06 	 101.53 	 106.52 	 13.80 	 114.50 
 105.50 	 116.73 	 102.73 	 105.00 	 13.20 	 111.00 
 104.20 	 116.21 	 103.50 	 102.72 	 12.40 	 104.30 
 104.10 	 117.32 	 104.79 	 101.69 	 12.80 	 104.70 
 104.50 	 116.63 	 105.17 	 100.73 	 12.70 	 103.50 
 103.20 	 117.80 	 104.14 	 100.03 	 11.40 	 101.00 
 103.60 	 118.13 	 104.97 	 99.70 	 11.90 	 101.30 
 103.40 	 117.46 	 105.14 	 99.30 	 9.30 	 101.30 
 103.00 	 117.90 	 106.06 	 98.60 	 9.60 	 100.80 
 102.20 	 118.46 	 106.49 	 97.90 	 9.50 	 96.90 
 101.80 	 118.91 	 106.28 	 97.10 	 9.20 	 95.50 
 102.00 	 118.45 	 105.79 	 96.50 	 8.90 	 98.24 
 101.90 	 119.85 	 104.99 	 96.40 	 9.20 	 96.90 
 101.70 	 114.64 	 105.67 	 97.20 	 9.60 	 96.40 
 102.00 	 114.46 	 106.92 	 97.80 	 10.10 	 99.68 
