Stkcd,Dretnd,,,,,
600000,-0.009112,,,,,
600000,-0.004598,,,,,
600000,-0.009238,,,,,
600000,0.002331,,,,,
600000,-0.012791,,,,,
600000,0.015312,,,,,
600000,-0.00116,,,,,
600000,-0.002323,,,,,
600000,-0.006985,,,,,
600000,0,,,,,
600000,0.001172,,,,,
600000,-0.008197,,,,,
600000,-0.003542,,,,,
600000,-0.007109,,,,,
600000,-0.00358,,,,,
600000,0.016766,,,,,
600000,-0.009423,,,,,
600000,0.028537,,,,,
600000,0.006936,,,,,
600000,0.027555,,,,,
600000,0.013408,,,,,
600000,-0.007718,,,,,
600000,0.01,,,,,
600000,-0.005501,,,,,
600000,-0.007743,,,,,
600000,0.025641,,,,,
600000,-0.017391,,,,,
600000,0.017699,,,,,
600000,0.023913,,,,,
600000,-0.021231,,,,,
600000,0,,,,,
600000,-0.015184,,,,,
600000,0.035242,,,,,
600000,0.004255,,,,,
600000,-0.005297,,,,,
600000,-0.015974,,,,,
600000,0.022727,,,,,
600000,-0.005291,,,,,
600000,-0.003191,,,,,
600000,-0.010672,,,,,
600000,-0.00863,,,,,
600000,0.004353,,,,,
600000,-0.004334,,,,,
600000,0.007617,,,,,
600000,0,,,,,
600000,0.00216,,,,,
600000,0.00431,,,,,
600000,0.001073,,,,,
600000,0.019293,,,,,
600000,-0.003155,,,,,
600000,0.018987,,,,,
600000,-0.012422,,,,,
600000,0.001048,,,,,
600000,0.01466,,,,,
600000,-0.011352,,,,,
600000,-0.014614,,,,,
600000,-0.010593,,,,,
600000,0.012848,,,,,
600000,0.001057,,,,,
600000,-0.009504,,,,,
600000,0.009595,,,,,
600000,-0.011616,,,,,
600000,-0.018162,,,,,
600000,0.006529,,,,,
600000,0.003243,,,,,
600000,-0.017241,,,,,
600000,-0.004386,,,,,
600000,0.004405,,,,,
600000,-0.006579,,,,,
600000,0.007726,,,,,
600000,-0.001095,,,,,
600000,-0.016447,,,,,
600000,-0.011148,,,,,
600000,0.006764,,,,,
600000,0,,,,,
600000,0.00112,,,,,
