Trddt,Clsprc
2012/5/10,18.28
2012/5/11,18
2012/5/14,17.68
2012/5/15,17.85
2012/5/16,17.62
2012/5/17,18.09
2012/5/18,17.74
2012/5/21,17.78
2012/5/23,17.69
2012/5/24,17.56
2012/5/25,17.09
2012/5/28,17.35
2012/5/29,17.75
2012/5/30,17.57
2012/5/31,17.41
2012/6/1,17.58
2012/6/4,16.95
2012/6/5,16.81
2012/6/6,16.96
2012/6/7,16.66
2012/6/8,16.48
2012/6/11,16.8
2012/6/12,16.68
2012/6/13,17.88
2012/6/14,17.81
2012/6/15,18.05
2012/6/18,17.92
2012/6/19,17.82
2012/6/20,17.96
2012/6/21,17.59
2012/6/25,17.14
2012/6/26,17.55
2012/6/27,17.61
2012/6/28,17.62
2012/6/29,18.3
2012/7/2,18.39
2012/7/3,18.62
2012/7/4,18.54
2012/7/5,18.88
2012/7/6,18.77
2012/7/9,18.6
2012/7/10,18.64
2012/7/11,18.92
2012/7/12,18.43
2012/7/13,18.77
2012/7/16,18.51
2012/7/17,18.9
2012/7/18,18.94
2012/7/19,20
2012/7/20,19.88
2012/7/23,19.52
2012/7/24,19.83
2012/7/25,19.7
2012/7/26,19.49
2012/7/27,18.9
2012/7/30,18.39
2012/7/31,18.75
2012/8/1,19.06
2012/8/2,18.67
2012/8/3,18.79
2012/8/6,18.86
2012/8/7,18.51
2012/8/8,18.73
2012/8/9,18.68
2012/8/10,18.86
2012/8/13,17.9
2012/8/14,17.71
2012/8/15,17.67
2012/8/16,17.72
2012/8/17,17.58
2012/8/20,17.14
2012/8/21,17.19
2012/8/22,17.21
2012/8/23,17.25
2012/8/24,17.18
2012/8/27,16.56
2012/8/28,16.72
2012/8/29,16.77
2012/8/30,17.3
2012/8/31,17.84
2012/9/3,18.04
2012/9/4,17.83
2012/9/5,17.93
2012/9/6,18
2012/9/7,18.9
2012/9/10,18.9
2012/9/11,18.41
2012/9/12,18.39
2012/9/13,18.5
2012/9/14,18.65
2012/9/17,18.04
2012/9/18,18.15
2012/9/19,18.18
2012/9/20,17.81
2012/9/21,18.13
2012/9/24,18.48
2012/9/25,18.58
2012/9/26,18.53
2012/9/27,18.91
2012/9/28,18.9
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
